Programs,Stimulation Level,Animation Styles,Dialogue Intensity,Total Music Time,Scene Frequency
Snoopy,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,High,High
arthur,Low-Medium Stimulation,2D Cartoon (Flat Colors),High,Moderate,Moderate
BenAndHollysLittleKingdom,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
KiriandLou,Low Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Low
OfficialMiffy,Low Stimulation,2D Cartoon (Flat Colors),Low,Moderate,Low
moonandme,Low Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Low
theworldofmrbean,Medium-High Stimulation,2D Cartoon (Flat Colors),Moderate,High,High
oggy,High Stimulation,2D Cartoon (Flat Colors),Low,High,High
PuffinRock,Low Stimulation,2D Cartoon (Flat Colors),Low,Moderate,Unknown
RaaRaaTheNoisyLion,Medium Stimulation,"3D CGI (Shadows, Bright)",High,Moderate,High
RosiesRules,Medium Stimulation,2D Cartoon (Flat Colors),High,High,Low
SonictheHedgehog,High Stimulation,"3D CGI (Shadows, Bright)",High,High,High
TakaroTribe,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,High,Moderate
theadventuresofabneyandteal494,Low Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Low
TheBackyardigansOfficial,Medium Stimulation,"3D CGI (Shadows, Bright)",High,High,High
Oddbods,High Stimulation,"3D CGI (Shadows, Bright)",Low,High,High
TopsyAndTim,Low-Medium Stimulation,Live Action (Real Humans),Moderate,Moderate,High
WoollyandTigOfficial,Low-Medium Stimulation,Live Action (Real Humans),Moderate,Moderate,Moderate
WombatsPBS,Medium Stimulation,2D Cartoon (Flat Colors),High,High,Low
Tumbleleaf,Low-Medium Stimulation,2D Cartoon (Flat Colors),Low,High,High
TweedyandFluff,Low Stimulation,2D Cartoon (Flat Colors),Low,High,Low
AndysAmazingAdventures,Medium Stimulation,Live Action (Real Humans),Moderate,Moderate,Moderate
BillNyeTheScienceGuyHD,High Stimulation,Live Action (Real Humans),High,High,High
BingBunny,Low-Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Low
bananasinpyjamas,Low-Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Moderate
barbapapa-canaleufficiale,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
PaddingtonBearWildBrain,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
AdventureTime,High Stimulation,2D Cartoon (Flat Colors),High,High,High
officialalphablocks,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
AngelinaBallerina,Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,High,Moderate
AvatarLegends,High Stimulation,2D Cartoon (Flat Colors),High,High,High
babar-official5809,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
BlueyOfficialChannel,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,High,Moderate
BobtheBuilderOfficial,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Low
Booba,Medium-High Stimulation,Live Action (Real Humans),Low,High,High
BubbleGuppies,High Stimulation,"3D CGI (Shadows, Bright)",High,High,High
BuilderBrothersDreamFactory,Medium Stimulation,"3D CGI (Shadows, Bright)",High,High,Moderate
caillou,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Low
carebears,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
CharliesColorformsCity,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
cityoffriends-official,Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Moderate
CliffordtheBigRedDogClassic,Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Moderate
ededdneddy3011,High Stimulation,2D Cartoon (Flat Colors),High,High,High
GabbysDollhouse,Medium-High Stimulation,Live Action (Real Humans),Moderate,High,High
Gigantosaurus,Medium-High Stimulation,"3D CGI (Shadows, Bright)",Moderate,High,High
guesshowmuchiloveyou,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
veggietales,Medium-High Stimulation,"3D CGI (Shadows, Bright)",High,High,High
TractorTed,Low-Medium Stimulation,Live Action (Real Humans),Moderate,Moderate,Low
TheMagicSchoolBusOfficial,Medium-High Stimulation,2D Cartoon (Flat Colors),High,Moderate,High
TheLionGuard,Medium-High Stimulation,2D Cartoon (Flat Colors),High,High,High
TheLandBeforeTime,Medium-High Stimulation,"3D CGI (Shadows, Bright)",High,High,High
TheFixiesOfficial,Medium-High Stimulation,"3D CGI (Shadows, Bright)",High,High,High
clangers,Low-Medium Stimulation,Live Action (Real Humans),Low,High,High
thebusyworldofrichardscarry,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Low
OfficialBerenstainBears,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
teddyruxpin7652,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
PaddingtonBearWildBrain,Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,High,Low
FiremanSam,Medium-High Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Moderate
lazytown,High Stimulation,Live Action (Real Humans),High,High,High
LittleAngel,High Stimulation,"3D CGI (Shadows, Bright)",High,High,Moderate
miloenglish,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,High,Moderate
MrTumble,Low-Medium Stimulation,Live Action (Real Humans),Moderate,Moderate,Moderate
DreamWorksSpirit,Medium Stimulation,"3D CGI (Shadows, Bright)",High,Moderate,High
SuperbookTV,Medium-High Stimulation,"3D CGI (Shadows, Bright)",High,High,Moderate
SuperWhy,Medium Stimulation,"3D CGI (Shadows, Bright)",High,Moderate,Moderate
lisasimpsonl88,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,High
robocarpoli,High Stimulation,"3D CGI (Shadows, Bright)",High,High,Moderate
DoraOfficial,High Stimulation,2D Cartoon (Flat Colors),High,High,High
dinotrux,Medium-High Stimulation,"3D CGI (Shadows, Bright)",Moderate,High,High
DinoKids,Medium Stimulation,Live Action (Real Humans),Moderate,Moderate,Moderate
DinoRanch,Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Moderate
CuriousGeorge,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,High,Moderate
HeyDuggeeOfficial,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,High,Moderate
HorridHenry,Medium-High Stimulation,2D Cartoon (Flat Colors),High,High,High
InTheNightGarden,Low Stimulation,Live Action (Real Humans),Low,Low,Low
JoJoandGranGran,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
DanielTigersNeighbourhood,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,High,Low
LlamaLlama,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Low
MaddiesDoYouKnow,Medium Stimulation,Live Action (Real Humans),High,Moderate,High
MashaBearEN,High Stimulation,"3D CGI (Shadows, Bright)",Moderate,High,High
marcuslevel,High Stimulation,2D Cartoon (Flat Colors),High,High,High
MisterMaker,Low-Medium Stimulation,Live Action (Real Humans),Moderate-High,High,Moderate
MoominOfficial,Low-Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Moderate
Octonauts,High Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Moderate
Noddy,Medium-High Stimulation,"3D CGI (Shadows, Bright)",High,High,Moderate
MrMonkeyMonkeyMechanic,Medium Stimulation,2D Cartoon (Flat Colors),Low-Moderate,High,Moderate
oswaldtheoctopus6123,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Low
ReadingRainbowOfficial,Low-Medium Stimulation,Live Action (Real Humans),Moderate,Moderate,High
pajanimals,Low-Medium Stimulation,Live Action (Real Humans),Moderate,High,Low
PAWPatrolOfficial,High Stimulation,"3D CGI (Shadows, Bright)",High,High,High
PegCat,Medium Stimulation,2D Cartoon (Flat Colors),High,High,Moderate
PostmanPat,Medium-High Stimulation,"3D CGI (Shadows, Bright)",High,High,High
pocoyoenglish,Medium Stimulation,Live Action (Real Humans),Low,Moderate,Low
pipandposy,Medium Stimulation,Live Action (Real Humans),Moderate,Moderate,Moderate
PinkaliciousandPeterrificPBS,Medium-High Stimulation,2D Cartoon (Flat Colors),High,High,High
OfficialPeterRabbit,Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Moderate
MarahKG,High Stimulation,2D Cartoon (Flat Colors),Low,High,High
toyoraljanahtv,High Stimulation,Live Action (Real Humans),Moderate,High,High
GumballArabic,Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Moderate
PPGMENA,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,High,Moderate
Ben10MENA,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Low,High
mansourcartoon,Medium Stimulation,"3D CGI (Shadows, Bright",Moderate,Low,Moderate
